produk_id,kategori_id,toko_id,kode_produk,nama_produk,harga_produk,stok_produk,deskripsi_produk,merk_produk,image
NULL,3,1,2221,CANON PIXMA E410,-,1,-,canon,NULL
NULL,3,1,4284,CANON PIXMA G1020 / G1010,-,1,-,canon,NULL
NULL,3,1,2643,CANON PIXMA G2010,-,1,-,canon,NULL
NULL,3,1,2644,CANON PIXMA G3010,-,1,-,canon,NULL
NULL,3,1,2152,CANON PIXMA G4770,-,1,-,canon,NULL
NULL,3,1,722,CANON PIXMA IP2770,-,1,-,canon,NULL
NULL,3,1,1422,CANON PIXMA MG2570S,-,1,-,canon,NULL
NULL,3,1,4308,CANON PIXMA G1730,-,1,-,canon,NULL
NULL,3,1,2020,EPSON L121,-,4,-,epson,NULL
NULL,3,1,3428,EPSON L3210,-,3,-,epson,NULL
NULL,3,1,1967,EPSON L3250,-,2,-,epson,NULL
NULL,3,1,3038,EPSON L5290,-,1,-,epson,NULL
NULL,3,1,1701,HP DESKJET 2775,1000000,1,-,hp,NULL
